date,time,trk,cc,lap 1,lap 2,lap 3,total
2022-03-06,10:05 PM,dMC,150,42.542,39.981,40.168,2:02.691
2022-03-12,10:09 PM,dMC,150,42.607,39.790,40.037,2:02.434
2022-04-08,5:40 PM,dMC,150,41.903,39.559,39.218,2:00.680
2022-07-17,5:43 PM,dMC,150,41.868,39.448,38.789,2:00.105
2022-02-27,8:58 PM,dNBC,150,41.850,38.980,39.618,2:00.448
2022-03-06,9:48 PM,dNBC,150,41.555,39.390,39.441,2:00.386
2022-03-07,11:35 PM,dNBC,150,41.302,39.215,39.166,1:59.683
2022-03-30,9:21 PM,dNBC,150,40.584,38.939,39.417,1:58.940
2022-04-07,8:33 PM,dNBC,150,40.930,38.741,38.489,1:58.160
2022-04-17,7:49 PM,dNBC,150,40.767,38.967,38.377,1:58.111
2022-05-27,8:32 PM,dNBC,150,40.467,38.440,38.338,1:57.245
2022-06-12,3:13 PM,dNBC,150,40.402,38.413,37.945,1:56.760
2022-06-18,8:57 PM,dNBC,150,39.928,37.833,37.975,1:55.736
2022-02-01,4:34 AM,dRiR,150,41.225,39.359,39.661,2:00.245
2022-02-01,4:42 AM,dRiR,150,40.850,39.146,38.991,1:58.987
2022-02-03,4:20 PM,dRiR,150,41.085,38.848,38.951,1:58.884
2022-03-12,3:15 AM,dRiR,150,40.691,39.337,38.707,1:58.735
2022-03-12,3:54 PM,dRiR,150,40.549,38.849,38.516,1:57.914
2022-03-25,4:03 PM,dRiR,150,40.259,38.514,38.967,1:57.740
2022-04-07,8:45 PM,dRiR,150,40.425,38.219,38.533,1:57.177
2022-04-12,7:32 PM,dRiR,150,39.949,37.865,38.610,1:56.424
2022-04-17,6:08 PM,dRiR,150,39.767,37.955,38.048,1:55.770
2022-04-21,8:38 PM,dRiR,150,39.681,37.942,38.057,1:55.680
2022-04-23,1:02 PM,dRiR,150,39.751,37.572,38.258,1:55.581
2022-02-14,2:42 AM,dRR,150,34.072,32.496,32.490,1:39.058
2022-02-26,12:47 AM,dRR,150,34.034,32.202,32.543,1:38.779
2022-02-26,12:54 AM,dRR,150,33.766,32.806,31.892,1:38.464
2022-02-26,1:01 AM,dRR,150,33.914,32.485,31.893,1:38.292
2022-02-26,1:06 AM,dRR,150,34.264,32.069,31.823,1:38.156
2022-02-26,1:16 AM,dRR,150,33.809,31.572,32.131,1:37.512
2022-03-06,10:15 PM,dRR,150,33.342,32.172,31.968,1:37.482
2022-03-12,3:00 AM,dRR,150,33.558,32.019,31.669,1:37.246
2022-03-25,4:54 PM,dRR,150,33.421,31.466,31.733,1:36.620
2022-03-25,5:06 PM,dRR,150,32.845,31.913,31.259,1:36.017
2022-04-14,11:54 PM,dRR,150,32.649,31.116,31.266,1:35.031
2022-04-17,6:35 PM,dRR,150,32.576,31.210,30.969,1:34.755
2022-05-29,1:12 PM,dRR,150,32.519,31.068,30.952,1:34.539
2022-06-06,9:25 PM,dRR,150,32.526,30.949,30.965,1:34.440
2022-06-18,5:41 PM,dRR,150,32.571,31.098,30.707,1:34.376
2022-02-12,8:53 PM,DS,150,45.309,42.868,43.742,2:11.919
2022-02-26,11:47 PM,DS,150,44.679,43.157,43.565,2:11.401
2022-03-06,11:26 PM,DS,150,44.792,42.557,42.958,2:10.307
2022-03-12,10:17 PM,DS,150,44.919,42.402,42.381,2:09.702
2022-03-21,11:50 AM,DS,150,44.117,42.800,42.479,2:09.396
2022-03-26,11:06 PM,DS,150,44.308,42.238,42.536,2:09.082
2022-04-07,7:50 PM,DS,150,44.527,41.931,41.597,2:08.055
2022-04-16,9:27 AM,DS,150,43.774,41.799,42.257,2:07.830
2022-04-26,11:29 PM,DS,150,43.081,41.508,41.448,2:06.037
2022-06-03,10:05 PM,DS,150,43.665,41.097,41.122,2:05.884
2022-02-03,5:06 PM,dSBS,150,40.163,40.564,38.541,1:59.268
2022-03-06,9:54 PM,dSBS,150,40.546,39.559,39.062,1:59.167
2022-03-12,12:00 AM,dSBS,150,41.267,38.508,38.593,1:58.368
2022-03-12,3:11 PM,dSBS,150,40.949,37.910,38.801,1:57.660
2022-03-12,5:28 PM,dSBS,150,40.815,37.562,38.349,1:56.726
2022-03-15,4:00 PM,dSBS,150,40.630,37.368,36.997,1:54.995
2022-03-25,10:01 PM,dSBS,150,40.338,36.659,37.497,1:54.494
2022-03-25,10:13 PM,dSBS,150,40.271,35.680,37.372,1:53.323
2022-04-14,7:39 PM,dSBS,150,39.864,35.972,37.192,1:53.028
2022-04-23,1:14 PM,dSBS,150,39.440,35.996,36.358,1:51.794
2022-05-27,8:53 PM,dSBS,150,39.705,35.549,36.352,1:51.606
2022-02-17,5:18 PM,dWGM,150,46.675,44.322,44.961,2:15.958
2022-03-16,10:36 PM,dWGM,150,46.873,43.953,44.733,2:15.559
2022-03-21,12:13 PM,dWGM,150,46.714,44.019,44.252,2:14.985
2022-04-14,11:47 PM,dWGM,150,45.603,43.788,43.994,2:13.385
2022-05-28,12:16 AM,dWGM,150,45.702,44.016,43.354,2:13.072
2022-05-28,12:24 AM,dWGM,150,45.211,43.500,43.538,2:12.249
2022-02-17,1:01 AM,dWW,150,41.022,38.653,38.896,1:58.571
2022-03-06,10:10 PM,dWW,150,41.000,38.541,38.977,1:58.518
2022-03-12,9:57 PM,dWW,150,41.213,38.758,38.392,1:58.363
2022-03-21,11:53 PM,dWW,150,40.597,38.340,38.745,1:57.682
2022-03-25,11:24 PM,dWW,150,40.734,37.818,38.699,1:57.251
2022-04-07,11:23 PM,dWW,150,40.486,37.548,37.933,1:55.967
2022-05-28,5:17 PM,dWW,150,40.200,37.986,37.734,1:55.920
2022-05-30,11:31 PM,dWW,150,39.949,38.090,37.607,1:55.646
2022-06-04,7:33 PM,dWW,150,40.036,38.039,37.526,1:55.601
2022-06-05,3:56 PM,dWW,150,40.433,37.253,37.820,1:55.506
2022-06-14,7:15 PM,dWW,150,40.112,37.528,37.261,1:54.901
2022-06-18,10:40 PM,dWW,150,39.822,37.332,37.653,1:54.807
2022-06-18,10:43 PM,dWW,150,39.144,37.774,37.449,1:54.367
2022-02-03,4:02 PM,dYC,150,40.871,39.497,38.867,1:59.235
2022-02-05,1:09 AM,dYC,150,41.125,38.943,38.985,1:59.053
2022-02-12,8:20 PM,dYC,150,40.942,39.246,38.790,1:58.978
2022-02-14,3:46 AM,dYC,150,40.926,39.354,38.313,1:58.593
2022-03-12,3:32 PM,dYC,150,40.792,38.956,38.655,1:58.403
2022-03-21,11:57 AM,dYC,150,40.415,38.393,38.053,1:56.861
2022-03-23,8:07 PM,dYC,150,40.687,38.043,37.962,1:56.692
2022-03-25,9:23 PM,dYC,150,40.422,37.841,38.370,1:56.633
2022-03-25,9:31 PM,dYC,150,39.836,37.610,37.275,1:54.721
2022-02-26,11:50 PM,Ed,150,46.189,43.536,43.930,2:13.655
2022-03-06,8:31 PM,Ed,150,45.213,43.777,43.432,2:12.422
2022-03-10,1:21 AM,Ed,150,45.324,43.428,43.580,2:12.332
2022-03-12,5:43 PM,Ed,150,45.047,43.193,43.046,2:11.286
2022-04-07,7:53 PM,Ed,150,44.621,42.278,42.134,2:09.033
2022-06-03,11:40 PM,Ed,150,44.273,41.909,42.335,2:08.517
2022-02-14,1:48 AM,MC,150,42.271,39.817,39.541,2:01.629
2022-02-23,1:20 AM,MC,150,41.418,39.547,40.079,2:01.044
2022-02-23,1:25 AM,MC,150,41.494,39.594,39.434,2:00.522
2022-02-26,5:26 AM,MC,150,41.668,39.329,39.156,2:00.153
2022-03-12,4:17 PM,MC,150,40.634,38.837,40.465,1:59.936
2022-03-21,11:41 AM,MC,150,40.188,39.012,37.962,1:57.162
2022-03-21,11:44 AM,MC,150,40.128,38.111,38.564,1:56.803
2022-04-07,7:16 PM,MC,150,39.918,37.976,38.107,1:56.001
2022-06-09,8:53 PM,MC,150,38.050,38.174,37.751,1:53.975
2022-02-14,1:30 AM,MKS,150,37.948,36.134,35.419,1:49.501
