NO,Player,Real time,Version,Date
106,RhayKou,1h 55m 53s 120ms,Cartridge,6 months ago
107,yuttantan,1h 55m 56s 001ms,Digital,1 year ago
108,Japsiman,1h 55m 59s 310ms,Cartridge,1 year ago
109,Sienna,1h 56m 00s 140ms,Digital,2 months ago
110,teewhizz,1h 56m 01s,Digital,2 years ago
111,akai235,1h 56m 01s 040ms,Cartridge,3 weeks ago
112,MoLo,1h 56m 02s,Cartridge,9 months ago
113,carssoune,1h 56m 03s,Cartridge,4 years ago
114,Smudey,1h 56m 06s,Digital,1 year ago
115,kirobinkirb,1h 56m 06s 690ms,Cartridge,1 month ago
116,Mayonades,1h 56m 07s 094ms,Digital,1 year ago
117,Sobriquet,1h 56m 09s,Cartridge,2 months ago
118,Ingm_ario,1h 56m 09s 250ms,Digital,1 month ago
119,AlfonGD,1h 56m 10s 374ms,Digital,1 year ago
120,Jasu14,1h 56m 10s 960ms,Cartridge,1 month ago
121,Kehorie,1h 56m 14s,Digital,2 years ago
122,gamaroo,1h 56m 16s,Cartridge,4 years ago
123,ckadylak,1h 56m 23s,Cartridge,3 years ago
124,ronancarroll,1h 56m 27s 280ms,Digital,1 month ago
125,NaDennIsGut,1h 56m 28s 026ms,Cartridge,11 months ago
126,GrimLeadReaper,1h 56m 28s 560ms,Digital,3 months ago
127,xDHannah,1h 56m 30s,Digital,2 years ago
128,rocky1724,1h 56m 31s,Digital,2 years ago
129,Rirure,1h 56m 34s,Cartridge,3 months ago
129,Grort,1h 56m 34s,Digital,2 months ago
131,Taljer,1h 56m 35s,Cartridge,1 month ago
132,RedHarps,1h 56m 42s 120ms,Cartridge,2 years ago
133,Bramsil,1h 56m 46s,Digital,4 years ago
134,SammyWubs,1h 56m 47s,Digital,1 year ago
135,MetagameMike,1h 56m 48s 400ms,Digital,5 months ago
136,Agentcubed,1h 56m 49s 705ms,Cartridge,6 months ago
137,rat151,1h 56m 50s,Digital,1 year ago
138,Oh_Snap,1h 56m 55s,Digital,4 years ago
139,Khufu,1h 56m 55s 510ms,Digital,2 months ago
140,xerneas-yveltal,1h 56m 57s,Cartridge,4 months ago
141,Willbatros,1h 56m 59s 280ms,Digital,10 months ago
142,Guiguignol,1h 56m 59s 950ms,Cartridge,1 year ago
143,cjitsallgewd,1h 57m 02s,Digital,3 years ago
144,maxanderson573,1h 57m 04s,Cartridge,3 years ago
145,Bayesic,1h 57m 06s 073ms,Cartridge,1 year ago
146,Yveltalnite,1h 57m 06s 140ms,Cartridge,2 months ago
147,Skinny_lad,1h 57m 09s 079ms,Digital,1 year ago
148,Yocosi,1h 57m 18s 063ms,Digital,11 months ago
149,V11GAmeR,1h 57m 20s,Cartridge,8 months ago
150,nickfredy,1h 57m 22s,Cartridge,3 months ago
151,nitendo,1h 57m 27s,Cartridge,4 weeks ago
152,EloquenceSSB,1h 57m 28s 130ms,Digital,1 month ago
153,Westboyka,1h 57m 33s,Digital,1 year ago
154,soru,1h 57m 35s,Digital,1 year ago
154,Unnotableone,1h 57m 35s,Digital,1 year ago
156,MATUS,1h 57m 36s,Cartridge,3 years ago
157,King,1h 57m 37s,Cartridge,2 years ago
157,platinovy,1h 57m 37s,Cartridge,1 year ago
159,BrynboyYT,1h 57m 40s 000ms,Cartridge,6 months ago
160,SnowBuried,1h 57m 42s,Cartridge,8 months ago
161,Kiryu_Hact,1h 57m 44s 250ms,Digital,4 weeks ago
162,Broshinendo,1h 57m 44s 450ms,Cartridge,1 year ago
163,restful64,1h 57m 50s,Digital,1 year ago
164,Soliloquilic,1h 57m 51s 055ms,Digital,5 months ago
165,fenwar_seshwar,1h 57m 53s,Cartridge,3 months ago
166,Raemirus,1h 57m 55s 040ms,Cartridge,2 months ago
167,me_supa,1h 58m 00s,Cartridge,4 months ago
168,Simbionis,1h 58m 01s 780ms,Digital,2 months ago
169,aqqw1,1h 58m 02s 462ms,Cartridge,1 month ago
170,41d3n,1h 58m 05s 340ms,Cartridge,1 month ago
171,Veeharos,1h 58m 07s 002ms,Cartridge,2 years ago
172,MisterWah,1h 58m 12s 330ms,Cartridge,1 month ago
173,linny356,1h 58m 14s,Cartridge,1 year ago
174,Superzigzagoon,1h 58m 17s,Cartridge,4 years ago
175,eternitykodex,1h 58m 17s 550ms,Cartridge,8 months ago
176,Big_speed,1h 58m 19s,Cartridge,1 year ago
177,ItsRileyPM,1h 58m 20s 680ms,Digital,1 month ago
178,Nerd_Squared,1h 58m 21s,Digital,3 years ago
179,TheeDazza,1h 58m 22s,Digital,1 year ago
180,Lethalethan,1h 58m 23s 060ms,Digital,7 months ago
181,NuLL_,1h 58m 24s 920ms,Digital,10 months ago
182,mogami19984,1h 58m 28s,Digital,1 year ago
183,Kiwizkat,1h 58m 33s 041ms,Digital,10 months ago
184,TheDogSpider,1h 58m 34s,Cartridge,2 years ago
185,Rainford,1h 58m 35s,Cartridge,4 years ago
186,sarahjohnson,1h 58m 38s,Cartridge,1 month ago
187,IlluminaTea,1h 58m 45s,Digital,3 years ago
188,Chikorita,1h 58m 47s,Cartridge,3 years ago
189,Modest,1h 58m 48s,Cartridge,1 year ago
190,CataliePortman,1h 58m 49s,Cartridge,2 months ago
191,Arknei,1h 58m 52s,Digital,3 years ago
192,Aerma,1h 58m 56s 089ms,Cartridge,1 year ago
193,rigmarole,1h 58m 57s,Cartridge,3 years ago
194,Dr0id,1h 58m 59s,Digital,1 year ago
195,thana_dg,1h 59m 02s 093ms,Digital,1 year ago
196,Heddo,1h 59m 09s 320ms,Digital,2 months ago
197,Rory00,1h 59m 10s,Cartridge,2 years ago
198,ChilloutChad,1h 59m 10s 570ms,Digital,1 month ago
199,jozzydee,1h 59m 13s 700ms,Digital,1 year ago
