ID,Track,Time,Version,Items,Speed,Category
22/06/06 (08:012),Sweet Sweet Canyon,146.347665,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:013),Sweet Sweet Canyon,146.405407,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),Sweet Sweet Canyon,145.574997,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:016),Sweet Sweet Canyon,147.046246,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:018),Sweet Sweet Canyon,146.187125,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),Sweet Sweet Canyon,145.478011,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),Thwomp Ruins,158.786954,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),Thwomp Ruins,152.105226,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),Thwomp Ruins,151.847036,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),Thwomp Ruins,151.511204,No Items,Cartridge,150cc,48 Tracks
22/03/07 (08:005),Thwomp Ruins,155.560454,No Items,Cartridge,150cc,48 Tracks
22/03/13 (08:006),Thwomp Ruins,152.150904,No Items,Cartridge,150cc,48 Tracks
22/03/15 (08:007),Thwomp Ruins,150.984189,No Items,Cartridge,150cc,48 Tracks
22/04/05 (08:008),Thwomp Ruins,150.853649,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:010),Thwomp Ruins,154.081751,No Items,Cartridge,150cc,48 Tracks
22/04/23 (08:011),Thwomp Ruins,149.428031,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:012),Thwomp Ruins,147.256045,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:013),Thwomp Ruins,148.983048,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),Thwomp Ruins,147.848519,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:016),Thwomp Ruins,148.683553,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),Thwomp Ruins,148.295251,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),Mario Circuit,147.887286,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),Mario Circuit,147.466615,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),Mario Circuit,147.658331,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),Mario Circuit,146.153595,No Items,Cartridge,150cc,48 Tracks
22/03/07 (08:005),Mario Circuit,146.268613,No Items,Cartridge,150cc,48 Tracks
22/03/13 (08:006),Mario Circuit,145.868915,No Items,Cartridge,150cc,48 Tracks
22/03/15 (08:007),Mario Circuit,146.233718,No Items,Cartridge,150cc,48 Tracks
22/04/05 (08:008),Mario Circuit,144.811357,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:010),Mario Circuit,145.180053,No Items,Cartridge,150cc,48 Tracks
22/04/23 (08:011),Mario Circuit,142.47617,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:012),Mario Circuit,142.585868,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:013),Mario Circuit,143.388049,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),Mario Circuit,143.217344,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:016),Mario Circuit,141.97631,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),Mario Circuit,141.787151,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),Toad Harbor,167.618421,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),Toad Harbor,166.970097,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),Toad Harbor,170.961508,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),Toad Harbor,167.127725,No Items,Cartridge,150cc,48 Tracks
22/03/07 (08:005),Toad Harbor,167.031507,No Items,Cartridge,150cc,48 Tracks
22/03/13 (08:006),Toad Harbor,166.115141,No Items,Cartridge,150cc,48 Tracks
22/03/15 (08:007),Toad Harbor,170.677464,No Items,Cartridge,150cc,48 Tracks
22/04/05 (08:008),Toad Harbor,165.179412,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:010),Toad Harbor,164.035738,No Items,Cartridge,150cc,48 Tracks
22/04/23 (08:011),Toad Harbor,165.568048,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:012),Toad Harbor,165.255105,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:013),Toad Harbor,164.950424,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),Toad Harbor,162.38184,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:016),Toad Harbor,162.023745,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),Toad Harbor,162.122393,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),Twisted Mansion,158.192552,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),Twisted Mansion,156.731463,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),Twisted Mansion,157.517302,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),Twisted Mansion,155.803605,No Items,Cartridge,150cc,48 Tracks
22/03/07 (08:005),Twisted Mansion,157.753004,No Items,Cartridge,150cc,48 Tracks
22/03/13 (08:006),Twisted Mansion,156.441962,No Items,Cartridge,150cc,48 Tracks
22/03/15 (08:007),Twisted Mansion,155.723532,No Items,Cartridge,150cc,48 Tracks
22/04/05 (08:008),Twisted Mansion,154.583817,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:010),Twisted Mansion,153.086301,No Items,Cartridge,150cc,48 Tracks
22/04/23 (08:011),Twisted Mansion,152.92993,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:012),Twisted Mansion,154.525744,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:013),Twisted Mansion,156.443393,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),Twisted Mansion,153.010401,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:016),Twisted Mansion,154.58527,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),Twisted Mansion,153.09684,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),Shy Guy Falls,164.912317,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),Shy Guy Falls,163.327739,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),Shy Guy Falls,162.706286,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),Shy Guy Falls,165.990252,No Items,Cartridge,150cc,48 Tracks
22/03/07 (08:005),Shy Guy Falls,162.966186,No Items,Cartridge,150cc,48 Tracks
22/03/13 (08:006),Shy Guy Falls,161.641165,No Items,Cartridge,150cc,48 Tracks
22/03/15 (08:007),Shy Guy Falls,162.213402,No Items,Cartridge,150cc,48 Tracks
22/04/05 (08:008),Shy Guy Falls,161.062495,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:010),Shy Guy Falls,161.976414,No Items,Cartridge,150cc,48 Tracks
22/04/23 (08:011),Shy Guy Falls,160.565052,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:012),Shy Guy Falls,159.843511,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:013),Shy Guy Falls,169.187269,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),Shy Guy Falls,160.046929,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:016),Shy Guy Falls,159.750581,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),Shy Guy Falls,159.589834,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),Sunshine Airport,161.372063,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),Sunshine Airport,163.323212,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),Sunshine Airport,164.189658,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),Sunshine Airport,159.57759,No Items,Cartridge,150cc,48 Tracks
22/03/07 (08:005),Sunshine Airport,160.977239,No Items,Cartridge,150cc,48 Tracks
22/03/13 (08:006),Sunshine Airport,159.188559,No Items,Cartridge,150cc,48 Tracks
22/03/15 (08:007),Sunshine Airport,159.117203,No Items,Cartridge,150cc,48 Tracks
22/04/05 (08:008),Sunshine Airport,158.631461,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:010),Sunshine Airport,160.294877,No Items,Cartridge,150cc,48 Tracks
22/04/23 (08:011),Sunshine Airport,160.685179,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:012),Sunshine Airport,156.698586,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),Sunshine Airport,156.253399,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:016),Sunshine Airport,156.634889,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),Sunshine Airport,156.205162,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),Dolphin Shoals,162.519826,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),Dolphin Shoals,158.054608,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),Dolphin Shoals,158.913516,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),Dolphin Shoals,157.379268,No Items,Cartridge,150cc,48 Tracks
22/03/07 (08:005),Dolphin Shoals,159.631849,No Items,Cartridge,150cc,48 Tracks
22/03/13 (08:006),Dolphin Shoals,156.55512,No Items,Cartridge,150cc,48 Tracks
22/03/15 (08:007),Dolphin Shoals,157.025704,No Items,Cartridge,150cc,48 Tracks
22/04/05 (08:008),Dolphin Shoals,156.447306,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:010),Dolphin Shoals,157.061642,No Items,Cartridge,150cc,48 Tracks
22/04/23 (08:011),Dolphin Shoals,154.131633,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:012),Dolphin Shoals,155.16305500000001,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),Dolphin Shoals,154.675396,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:016),Dolphin Shoals,153.11301,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),Dolphin Shoals,153.975834,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),Electrodrome,163.026233,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),Electrodrome,161.866162,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),Electrodrome,159.887879,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),Electrodrome,160.378215,No Items,Cartridge,150cc,48 Tracks
22/03/07 (08:005),Electrodrome,161.957417,No Items,Cartridge,150cc,48 Tracks
22/03/13 (08:006),Electrodrome,160.053875,No Items,Cartridge,150cc,48 Tracks
22/03/15 (08:007),Electrodrome,159.03297800000001,No Items,Cartridge,150cc,48 Tracks
22/04/05 (08:008),Electrodrome,158.954557,No Items,Cartridge,150cc,48 Tracks
