ID,Track,Time,Version,Items,Speed,Category
22/06/06 (10:013),Start,0.0,No Items,Cartridge,150cc,48 Tracks
22/06/06 (10:015),Start,0.0,No Items,Cartridge,150cc,48 Tracks
22/07/04 (10:016),Start,0.0,No Items,Cartridge,150cc,48 Tracks
22/07/04 (10:018),Start,0.0,No Items,Cartridge,150cc,48 Tracks
22/07/04 (10:019),Start,0.0,No Items,Cartridge,150cc,48 Tracks
(10:000),Start,0.0,No Items,Cartridge,150cc,48 Tracks
22/04/20 (11:001),Start,0.0,150cc,Cartridge,Crossing Cup,Bonus Cups
22/04/20 (11:002),Start,0.0,150cc,Cartridge,Crossing Cup,Bonus Cups
22/04/21 (11:003),Start,0.0,150cc,Cartridge,Crossing Cup,Bonus Cups
22/04/21 (11:004),Start,0.0,150cc,Cartridge,Crossing Cup,Bonus Cups
22/08/22 (11:005),Start,0.0,150cc,Cartridge,Crossing Cup,Bonus Cups
22/08/22 (11:006),Start,0.0,150cc,Cartridge,Crossing Cup,Bonus Cups
22/08/23 (11:007),Start,0.0,150cc,Cartridge,Crossing Cup,Bonus Cups
22/08/23 (11:008),Start,0.0,150cc,Cartridge,Crossing Cup,Bonus Cups
22/08/24 (11:009),Start,0.0,150cc,Cartridge,Crossing Cup,Bonus Cups
22/08/24 (11:010),Start,0.0,150cc,Cartridge,Crossing Cup,Bonus Cups
22/08/24 (11:011),Start,0.0,150cc,Cartridge,Crossing Cup,Bonus Cups
(11:000),Start,0.0,150cc,Cartridge,Crossing Cup,Bonus Cups
22/08/24 (12:001),Start,0.0,150cc,Cartridge,Propeller Cup,DLC Cups
22/08/24 (12:002),Start,0.0,150cc,Cartridge,Propeller Cup,DLC Cups
22/08/24 (12:003),Start,0.0,150cc,Cartridge,Propeller Cup,DLC Cups
22/08/24 (12:004),Start,0.0,150cc,Cartridge,Propeller Cup,DLC Cups
22/08/24 (12:005),Start,0.0,150cc,Cartridge,Propeller Cup,DLC Cups
22/04/22 (13:001),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/04/22 (13:002),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/04/22 (13:003),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/04/22 (13:004),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/04/23 (13:005),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/04/23 (13:007),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/08/20 (13:008),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/08/20 (13:009),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/08/20 (13:010),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/08/20 (13:011),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/08/20 (13:012),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/08/20 (13:014),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/08/20 (13:015),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/08/20 (13:016),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/08/20 (13:017),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/08/20 (13:018),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/08/20 (13:019),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/08/20 (13:020),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/08/20 (13:021),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/08/24 (13:023),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
(13:000),Start,0.0,150cc,Cartridge,Shell Cup,Retro Cups
22/04/15 (14:001),Start,0.0,150cc,Cartridge,Egg Cup,Bonus Cups
22/04/15 (14:002),Start,0.0,150cc,Cartridge,Egg Cup,Bonus Cups
22/04/20 (14:003),Start,0.0,150cc,Cartridge,Egg Cup,Bonus Cups
22/04/20 (14:004),Start,0.0,150cc,Cartridge,Egg Cup,Bonus Cups
22/04/20 (14:006),Start,0.0,150cc,Cartridge,Egg Cup,Bonus Cups
22/04/21 (14:009),Start,0.0,150cc,Cartridge,Egg Cup,Bonus Cups
